day,item,demand
1,Milk,72
2,Milk,83
3,Milk,82
4,Milk,91
5,Milk,68
6,Milk,76
7,Milk,57
8,Milk,73
9,Milk,81
10,Milk,68
11,Milk,78
12,Milk,76
13,Milk,78
14,Milk,73
15,Milk,72
16,Milk,76
17,Milk,80
18,Milk,70
19,Milk,79
20,Milk,77
21,Milk,89
22,Milk,76
23,Milk,72
24,Milk,97
25,Milk,57
26,Milk,89
27,Milk,85
28,Milk,66
29,Milk,89
30,Milk,81
31,Milk,74
32,Milk,66
33,Milk,83
34,Milk,70
35,Milk,64
36,Milk,74
37,Milk,73
38,Milk,78
39,Milk,76
40,Milk,90
41,Milk,84
42,Milk,76
43,Milk,68
44,Milk,89
45,Milk,85
46,Milk,104
47,Milk,80
48,Milk,94
49,Milk,82
50,Milk,78
51,Milk,62
52,Milk,85
53,Milk,69
54,Milk,72
55,Milk,77
56,Milk,75
57,Milk,62
58,Milk,70
59,Milk,87
60,Milk,84
1,Bread,95
2,Bread,91
3,Bread,82
4,Bread,108
5,Bread,96
6,Bread,93
7,Bread,109
8,Bread,89
9,Bread,106
10,Bread,100
11,Bread,87
12,Bread,97
13,Bread,107
14,Bread,105
15,Bread,112
16,Bread,101
17,Bread,131
18,Bread,88
19,Bread,94
20,Bread,97
21,Bread,83
22,Bread,108
23,Bread,107
24,Bread,98
25,Bread,92
26,Bread,83
27,Bread,90
28,Bread,105
29,Bread,95
30,Bread,93
31,Bread,103
32,Bread,109
33,Bread,100
34,Bread,101
35,Bread,111
36,Bread,99
37,Bread,94
38,Bread,104
39,Bread,95
40,Bread,94
41,Bread,110
42,Bread,95
43,Bread,71
44,Bread,101
45,Bread,94
46,Bread,95
47,Bread,102
48,Bread,96
49,Bread,100
50,Bread,77
51,Bread,88
52,Bread,112
53,Bread,97
54,Bread,81
55,Bread,87
56,Bread,88
57,Bread,99
58,Bread,93
59,Bread,91
60,Bread,98
1,Chips,88
2,Chips,61
3,Chips,79
4,Chips,95
5,Chips,95
6,Chips,56
7,Chips,68
8,Chips,77
9,Chips,62
10,Chips,69
11,Chips,74
12,Chips,90
13,Chips,75
14,Chips,78
15,Chips,81
16,Chips,81
17,Chips,76
18,Chips,64
19,Chips,83
20,Chips,80
21,Chips,65
22,Chips,69
23,Chips,84
24,Chips,82
25,Chips,68
26,Chips,73
27,Chips,74
28,Chips,82
29,Chips,88
30,Chips,76
31,Chips,87
32,Chips,84
33,Chips,78
34,Chips,61
35,Chips,65
36,Chips,83
37,Chips,58
38,Chips,77
39,Chips,86
40,Chips,77
41,Chips,69
42,Chips,67
43,Chips,84
44,Chips,80
45,Chips,73
46,Chips,86
47,Chips,84
48,Chips,93
49,Chips,81
50,Chips,74
51,Chips,74
52,Chips,56
53,Chips,77
54,Chips,75
55,Chips,62
56,Chips,75
57,Chips,89
58,Chips,68
59,Chips,66
60,Chips,87
1,Eggs,84
2,Eggs,79
3,Eggs,78
4,Eggs,78
5,Eggs,86
6,Eggs,90
7,Eggs,89
8,Eggs,95
9,Eggs,87
10,Eggs,101
11,Eggs,84
12,Eggs,114
13,Eggs,93
14,Eggs,78
15,Eggs,76
16,Eggs,91
17,Eggs,84
18,Eggs,94
19,Eggs,91
20,Eggs,86
21,Eggs,78
22,Eggs,71
23,Eggs,82
24,Eggs,95
25,Eggs,89
26,Eggs,74
27,Eggs,88
28,Eggs,90
29,Eggs,78
30,Eggs,88
31,Eggs,87
32,Eggs,75
33,Eggs,90
34,Eggs,92
35,Eggs,97
36,Eggs,97
37,Eggs,73
38,Eggs,77
39,Eggs,92
40,Eggs,92
41,Eggs,92
42,Eggs,125
43,Eggs,92
44,Eggs,98
45,Eggs,96
46,Eggs,93
47,Eggs,83
48,Eggs,94
49,Eggs,79
50,Eggs,84
51,Eggs,82
52,Eggs,87
53,Eggs,110
54,Eggs,68
55,Eggs,93
56,Eggs,70
57,Eggs,82
58,Eggs,97
59,Eggs,87
60,Eggs,76
1,Soft Drinks,104
2,Soft Drinks,90
3,Soft Drinks,88
4,Soft Drinks,79
5,Soft Drinks,84
6,Soft Drinks,96
7,Soft Drinks,78
8,Soft Drinks,72
9,Soft Drinks,83
10,Soft Drinks,100
11,Soft Drinks,109
12,Soft Drinks,85
13,Soft Drinks,76
14,Soft Drinks,88
15,Soft Drinks,93
16,Soft Drinks,97
17,Soft Drinks,113
18,Soft Drinks,94
19,Soft Drinks,108
20,Soft Drinks,87
21,Soft Drinks,92
22,Soft Drinks,86
23,Soft Drinks,85
24,Soft Drinks,89
25,Soft Drinks,89
26,Soft Drinks,85
27,Soft Drinks,86
28,Soft Drinks,102
29,Soft Drinks,113
30,Soft Drinks,87
31,Soft Drinks,88
32,Soft Drinks,97
33,Soft Drinks,123
34,Soft Drinks,92
35,Soft Drinks,101
36,Soft Drinks,107
37,Soft Drinks,95
38,Soft Drinks,101
39,Soft Drinks,98
40,Soft Drinks,102
41,Soft Drinks,81
42,Soft Drinks,94
43,Soft Drinks,96
44,Soft Drinks,96
45,Soft Drinks,103
46,Soft Drinks,96
47,Soft Drinks,80
48,Soft Drinks,97
49,Soft Drinks,83
50,Soft Drinks,85
51,Soft Drinks,87
52,Soft Drinks,90
53,Soft Drinks,76
54,Soft Drinks,103
55,Soft Drinks,80
56,Soft Drinks,107
57,Soft Drinks,80
58,Soft Drinks,104
59,Soft Drinks,91
60,Soft Drinks,74
